RT-RPA im 50 µl Ansatz ;251,1 RNA-Kopien;251,1 RNA-Kopien
RT-PCR;13,1 RNA-Kopien;32,2 RNA-Kopien
RT-RPA mit dT-Quenched Sonde;147,5 RNA-Kopien;147,5 RNA-Kopien
RT-RPA mit dT-Quenched Sonde und Referenzproben;147,5 RNA-Kopien;147,5 RNA-Kopien
