Zeit;1051;1052;1053;1054;1055;1056;1057;1061;1062;1063;1064;1065;1066;1067;1071;1072;1073;1074;1075;1076;1077;1041;1042;1043;1044;1045;1046;1047;1031;1032;1033;1034;1035;1036;1037;1021;1022;1023;1024;1025;1026;1027;1011;1012;1013;1014;1015;1016;1017;1001;1002;1003;1004;1005;1006;1007;nk1;nk2;nk3;nk4;nk5;nk6;nk7;nk8
5;4,10548;5,11964;4,68688;4,0326;7,9508;7,32234;6,92238;7,39718;4,52776;23,06734;20,4013;19,27276;5,2626;5,32812;3,926;3,22638;5,1764;6,18278;5,63194;5,37864;5,76886;5,24848;5,61938;4,61806;12,02518;12,70832;8,5531;9,65592;5,8796;6,5148;3,68084;5,39738;;;;287,8886;392,3474;360,4532;12,4224;;;;12,5632;309,1692;289,0178;269,9556;;;;11,3522;301,5428;321,092;304,636;;;;;;;;;;;
5,5;4,50128;6,58854;5,85708;4,5933;8,034;8,43534;7,55968;7,77488;4,70866;26,10634;23,1296;21,51216;5,3422;5,39022;3,5998;3,22818;5,2759;6,48668;5,79504;5,67954;5,93346;5,69678;5,30138;4,54156;15,10548;17,17432;9,2292;10,48392;6,9066;7,1158;4,90254;6,84048;;;;320,3586;437,3554;405,1662;15,0814;;;;11,7272;341,9762;322,6228;297,5276;;;;13,2152;333,2678;353,335;336,394;;;;;;;;;;;
6;4,89528;9,96844;9,01808;6,7441;9,2286;9,58234;9,30388;9,14138;4,89796;29,67034;25,4906;24,43296;5,5897;5,28202;4,2531;3,56218;5,7103;6,85988;6,56704;6,09424;6,41396;5,95268;5,93048;5,13386;18,04908;21,07932;9,6006;11,81592;7,1056;8,1808;6,01614;6,95018;;;;351,7246;480,5524;444,9542;16,7514;;;;12,3382;370,8362;352,2348;321,9376;;;;14,0222;363,2578;383,411;366,129;;;;;;;;;;;
6,5;5,37248;13,61834;12,22258;9,0782;9,5062;11,86224;12,11248;11,67778;5,73686;33,32834;28,9796;27,58016;6,1682;6,58152;5,2262;4,66158;6,2215;7,54568;7,23174;6,51574;6,34096;6,69668;6,74468;5,55226;20,58488;24,49932;10,1384;12,58292;7,8396;8,3358;6,84544;7,46538;;;;376,5246;519,4954;481,5662;19,5404;;;;14,9892;399,0202;379,9488;346,8736;;;;18,8922;393,1638;411,877;397,873;;;;;;;;;;;
7;6,50478;17,92274;16,22858;12,068;10,5037;15,76264;15,74888;15,07908;6,05556;36,20234;31,6886;30,07196;6,4494;7,44942;6,3473;5,27348;7,3456;8,74328;8,16804;7,03844;7,25406;6,81368;7,04678;5,88416;22,70648;27,56232;10,6337;13,03792;8,4307;9,0818;7,69464;7,76948;;;;397,6666;556,6844;515,2412;22,4934;;;;18,7382;425,6302;405,5978;372,3966;;;;21,3192;422,1478;440,522;430,755;;;;;;;;;;;
7,5;6,22988;22,19494;19,89778;14,6726;11,491;20,24224;20,78458;19,54838;6,47546;39,18434;34,3656;32,56296;6,6613;9,00312;7,6058;6,05278;9,2595;10,11728;9,17094;7,53704;7,80726;7,30498;7,54378;5,77896;24,79768;30,64432;11,3644;13,59092;8,8984;9,1618;8,35934;8,11888;;;;420,1656;588,4204;545,3162;24,1284;;;;22,0202;449,5862;429,1738;395,8966;;;;23,2052;449,3828;468,221;461,723;;;;;;;;;;;
8;6,92288;26,36204;24,26368;17,3929;11,6797;26,16874;25,77058;23,80938;7,01206;41,89834;36,7326;34,42996;6,9414;11,58802;9,9776;7,17778;11,6196;12,23318;11,02694;8,06844;8,78336;8,44778;8,86898;6,38456;27,04768;34,08432;12,2172;14,35892;9,7774;10,1508;9,62814;9,15228;;;;444,8086;619,4824;572,8382;26,3864;;;;25,9072;472,0682;450,6128;417,7586;;;;26,7872;474,9758;496,027;493,356;;;;;;;;;;;
8,5;7,32198;31,29304;28,41438;20,7314;12,8852;31,90934;32,57138;29,05198;7,14226;44,21834;38,6716;37,11696;7,3022;14,26702;12,9457;8,94668;13,9106;14,14768;12,99544;8,26024;9,32086;9,54598;9,96478;6,43886;28,82238;36,55332;12,5223;14,66292;10,0934;10,7638;10,13754;10,10438;;;;465,9426;646,3044;599,5862;27,8184;;;;29,5242;493,6502;470,1158;437,5346;;;;28,2692;500,6548;522,45;522,274;;;;;;;;;;;
9;7,16378;35,28304;32,01228;23,0583;13,486;37,94334;38,12638;34,06598;8,09606;47,11634;41,8446;40,14896;8,1348;18,78612;17,724;11,88488;16,4081;16,37168;15,52734;8,60834;10,48476;10,63818;11,81868;6,84796;31,29758;39,65232;13,7389;15,66692;11,4204;11,3048;11,60294;11,64238;;;;485,4686;671,3824;623,5592;29,5454;;;;33,0702;514,7092;488,9998;454,8976;;;;30,7772;523,9478;549,284;548,673;;;;;;;;;;;
9,5;7,51738;39,89704;36,50928;25,9613;13,2228;43,65034;44,98938;39,70198;8,27236;48,88934;43,4056;41,14296;8,0836;23,18062;21,3462;14,30288;19,1371;19,45568;18,47174;9,21214;11,78216;12,62198;14,85158;7,10056;32,27058;41,64532;14,6846;16,54692;12,4664;11,9508;12,37194;12,72838;;;;501,5936;692,9104;644,2042;31,0484;;;;34,7262;531,4822;506,4428;471,3666;;;;32,3632;546,8328;571,802;574,944;;;;;;;;;;;
10;8,41358;44,73804;41,54028;29,5232;14,4404;50,85834;52,12638;45,50998;9,08546;51,79934;45,4886;43,20896;8,9294;28,28162;25,8587;18,06228;21,7201;22,19068;21,35274;9,58844;13,61586;14,60558;17,79318;7,48906;33,94368;43,14432;16,4791;18,32092;14,0034;13,0738;14,67394;14,94538;;;;516,9816;714,3604;663,1972;32,8254;;;;36,9202;550,3442;521,4158;487,3206;;;;34,9412;567,3418;595,127;598,499;;;;;;;;;;;
10,5;8,41088;49,43204;45,13728;32,4527;14,5724;56,56134;58,68838;51,10798;9,45856;53,16334;47,2116;45,48196;9,5043;33,52362;31,3787;21,54578;24,8401;25,17168;24,74774;10,49604;15,51806;17,23778;21,11298;8,26296;34,98818;44,88132;18,9046;21,52192;15,8674;13,9378;17,18494;17,35938;;;;530,8486;731,5894;679,5362;34,0974;;;;38,2852;567,3632;536,2998;501,5756;;;;35,6352;587,7728;615,866;619,724;;;;;;;;;;;
11;8,82808;53,57104;50,54628;35,6481;15,0213;63,18334;65,25338;57,20298;9,85566;55,04034;48,7186;47,01396;9,4018;39,64162;37,0097;25,94038;27,6991;28,05568;27,42874;10,72704;17,80936;19,90808;24,98968;8,59456;36,10868;46,43832;22,0411;25,14192;18,4214;15,3448;20,16094;20,36338;;;;543,7656;749,3374;695,0992;35,0844;;;;39,2112;580,2202;550,0848;514,3006;;;;37,0142;603,2928;634,338;639,237;;;;;;;;;;;
11,5;9,65398;58,99704;55,25128;39,6616;15,9516;69,98734;72,13438;63,51898;10,68886;56,81434;50,5096;48,45896;10,33;46,06062;42,6967;30,58638;30,6151;31,16368;30,43974;11,41584;19,65896;22,91518;28,84168;8,98916;36,95278;47,70532;25,0891;28,77492;20,9454;17,1088;23,40094;23,93938;;;;555,2276;764,5434;708,7112;36,6584;;;;40,5352;595,2362;563,0768;526,6766;;;;38,5922;619,9338;653,674;658,709;;;;;;;;;;;
12;10,09318;63,85504;59,59828;42,4056;16,4094;75,75734;78,60438;68,94298;12,11646;58,63334;51,7536;49,93896;10,4539;52,79562;49,0037;35,42438;34,2491;34,60268;34,01774;12,12544;22,82796;26,93018;34,09168;9,95166;37,82908;49,04432;28,8011;33,70192;24,6704;19,4868;26,80594;27,44138;;;;565,0736;778,5534;721,5572;37,0764;;;;41,5422;606,9592;575,2578;538,9976;;;;39,0972;634,7958;668,87;675,538;;;;;;;;;;;
12,5;10,64818;69,47904;64,80128;46,5816;17,3165;82,29934;84,85238;75,09998;13,17486;60,25134;53,8336;51,81396;11,9964;60,21662;55,7347;41,50838;37,4011;38,01168;37,17774;12,23844;25,96496;30,32418;39,00668;10,50206;39,28628;50,63632;32,6531;38,67092;28,9154;22,6638;30,33794;31,29938;;;;574,2646;790,0134;733,8182;38,1214;;;;42,4402;617,9502;585,3508;549,5946;;;;40,1162;647,3478;684,358;690,292;;;;;;;;;;;
13;11,22218;73,89604;69,39228;50,1956;17,8781;88,14834;91,37238;80,56098;13,62436;61,34134;54,7016;53,17296;11,7613;67,22162;62,0747;47,06638;41,4981;41,74068;40,95174;13,39394;29,69996;34,82118;44,82168;11,09326;40,02058;52,10632;36,5881;43,68092;33,8994;26,3138;34,82794;35,55538;;;;582,5876;802,2234;744,4032;39,6954;;;;45,0722;627,7652;597,2188;560,7436;;;;41,0402;660,4258;698,17;705,425;;;;;;;;;;;
13,5;11,68068;78,94104;73,85628;53,3666;18,0005;93,73434;96,70838;86,04698;14,90886;63,07834;56,3006;54,26396;12,5083;74,93362;69,5197;52,97938;45,3151;45,29768;44,27974;13,59774;33,40496;38,86218;50,04168;11,42246;40,89978;53,71132;41,1041;49,05692;39,3644;30,7018;38,62894;40,09538;;;;591,2686;812,3734;755,5042;41,5824;;;;45,3722;636,0042;605,1138;570,1796;;;;43,1142;670,0308;710,71;717,174;;;;;;;;;;;
14;12,64258;84,19904;79,47928;57,5066;18,9697;99,26334;101,97738;91,41798;16,31086;64,38934;57,7436;56,05496;13,6031;82,98862;76,9397;59,61538;49,6891;49,29068;49,00374;14,72574;37,67996;44,58518;56,43468;12,19146;41,78278;55,07032;44,9231;54,21692;45,0414;34,6408;43,47694;44,86838;;;;597,4076;822,6734;765,6382;42,4394;;;;47,3152;642,9342;613,3508;580,0626;;;;44,3942;679,8658;722,964;729,37;;;;;;;;;;;
14,5;12,80418;88,78304;83,85228;60,9436;19,2996;103,60134;106,98438;96,50798;16,91286;65,21434;58,7356;57,07696;14,1448;90,41662;84,4457;66,46238;54,2491;53,88868;52,90374;15,42904;42,57696;49,41018;62,91768;13,03396;42,43178;56,13832;49,5351;60,01292;51,8864;39,5358;48,58594;50,27538;;;;601,6136;831,5634;774,3372;44,4324;;;;47,9072;651,5172;620,8048;588,2136;;;;44,8562;688,0998;732,42;739,619;;;;;;;;;;;
15;14,30388;94,07304;88,81328;64,9416;20,0446;108,56434;111,74538;101,61698;17,78586;65,98534;59,1276;57,19396;14,2693;98,04662;91,7637;72,76238;58,4451;58,75868;56,94174;15,75214;47,95996;54,78118;69,14668;13,70686;42,97878;57,35232;53,8751;65,06192;58,4364;44,5798;52,68294;55,35438;;;;605,2096;842,3834;782,5642;45,1494;;;;49,8472;660,1652;630,1098;597,5476;;;;46,7782;696,6798;743,053;751,156;;;;;;;;;;;
15,5;14,74248;99,08404;93,68728;69,2846;21,2816;112,96334;115,93838;106,16598;18,83156;67,08034;59,9386;56,69596;15,6198;106,44462;100,2537;79,68738;63,1291;62,82768;62,07174;16,85304;52,84096;61,55218;76,56468;14,18766;43,44278;59,16432;58,1271;70,66792;66,1174;50,8638;58,38294;61,03138;;;;609,5746;850,1834;790,1442;45,5934;;;;51,4622;666,6052;635,9518;603,9636;;;;47,6622;705,2738;751,973;760,051;;;;;;;;;;;
16;15,83008;104,31904;98,70028;73,0956;21,7836;116,77634;119,96738;110,80898;19,99156;67,13334;58,1926;55,59596;16,4012;114,58262;107,9247;86,76838;68,2691;68,22568;66,83074;18,21294;59,01796;67,69718;83,67468;15,35816;44,39278;60,09332;62,8491;75,80592;74,0714;57,5618;63,47394;67,23938;;;;615,5556;859,1534;798,1242;47,2794;;;;52,8302;673,5562;642,0398;611,5496;;;;49,6122;712,7008;760,595;769,425;;;;;;;;;;;
16,5;16,50298;108,73304;103,24428;77,1636;22,3076;120,24034;123,37138;114,82198;21,18166;65,96034;57,4716;55,66396;17,3957;123,31062;115,9297;94,09438;72,6211;72,58568;70,98074;18,79654;64,46096;73,77818;90,99068;15,39196;45,47678;61,39732;67,4861;81,97692;82,3564;64,8558;68,16094;73,00038;;;;622,7296;866,0734;804,8442;48,9654;;;;52,5262;680,3452;646,8518;617,6286;;;;49,4662;717,1118;767,484;776,369;;;;;;;;;;;
17;17,06608;114,12704;108,00028;81,2256;23,4456;123,67834;126,57638;117,97398;21,89106;64,98734;58,1296;56,87196;18,3362;131,78262;124,0247;101,14938;77,9181;78,18468;76,19274;20,21814;71,60696;80,93218;98,64468;16,56546;46,75478;62,89032;72,7701;87,33792;91,6074;73,4538;73,46494;79,51738;;;;628,7106;872,3234;811,8242;49,2854;;;;55,0462;687,4492;653,8948;624,1996;;;;51,6092;724,1548;774,039;784,557;;;;;;;;;;;
17,5;18,70838;118,85804;112,86628;85,4176;24,1476;126,98634;130,17938;122,10398;23,70636;66,04234;60,2946;59,01296;20,1412;140,88062;132,7577;109,10438;83,3921;83,48068;81,32774;22,09754;78,21896;88,87018;106,25768;17,46466;46,79078;63,59432;76,6021;92,70992;100,2674;82,5018;78,73094;86,52638;;;;636,2746;877,7134;819,1442;51,0884;;;;56,5312;694,3562;659,9158;630,6296;;;;53,2722;729,7548;781,385;791,587;;;;;;;;;;;
18;19,45388;122,87004;116,84628;89,1556;25,3526;129,89734;132,72838;124,78598;24,65316;67,44534;61,8906;60,62396;21,4662;149,70962;141,1997;116,81738;88,3221;88,44368;86,76274;23,22554;85,06296;96,01718;113,48068;18,16316;47,61078;64,88732;80,4581;97,90492;109,6784;90,8748;84,06994;93,02138;;;;642,5986;884,9034;825,6942;52,6644;;;;57,1462;700,7122;664,9958;636,0316;;;;53,6972;734,9858;786,299;796,715;;;;;;;;;;;
18,5;20,19428;126,78804;120,38728;92,3026;26,1606;131,42834;134,89338;127,23598;25,13136;68,41234;62,1576;61,12496;22,3092;158,45662;149,2827;124,10838;93,3581;93,78168;90,97574;24,81054;92,40796;103,84018;121,26268;19,65236;48,73078;65,83332;84,7211;103,07292;118,9424;100,7718;89,67694;99,68038;;;;647,9326;889,9434;830,8742;53,6344;;;;57,6712;706,6272;670,9438;643,1756;;;;55,3832;739,5738;792,585;803,135;;;;;;;;;;;
19;21,95738;133,80604;128,20128;96,0836;28,0996;134,29434;137,16938;129,73598;26,88156;69,87234;63,4076;62,05296;24,1072;168,76362;160,0997;132,43038;97,7511;98,65068;95,04274;26,25854;99,49396;110,95618;127,40468;20,62846;49,44178;66,84232;88,3821;107,88692;128,5814;111,2578;95,91794;106,70238;;;;653,9186;897,4034;836,7642;55,2094;;;;58,3512;713,2332;676,0878;648,1356;;;;55,4672;745,0768;796,885;809,015;;;;;;;;;;;
19,5;23,02898;141,09404;135,05128;103,0376;29,7006;138,49534;141,48138;135,94598;27,31356;70,83934;63,8586;62,27596;26,2612;181,83662;172,4707;142,41238;102,2001;103,69868;99,95074;28,16454;107,29596;118,43518;132,92268;22,39036;49,81078;68,40232;92,0391;112,59092;137,6734;122,0678;103,20394;113,46938;;;;658,7236;902,1034;840,1042;55,7944;;;;59,4702;720,8592;681,7048;654,9146;;;;56,2822;749,3378;802,515;815,285;;;;;;;;;;;
