konz;ct
100;9,361744
100;11,955902
1000;6,546641
1000;6,621084
1000;6,810295
10000;5,177973
10000;5,379632
10000;5,477542
100000;4,374548
100000;4,39867
100000;4,61702
1000000;3,807056
1000000;3,737595
1000000;3,767987
10000000;3,388989
10000000;3,366671
10000000;3,320787
