konz;fluo
25;48,4
25;47,4
25;50,6
25;47
25;43,4
125;243,2
125;303,3
125;249,2
125;292
125;210,7
250;570,8
250;592,2
250;621,2
250;631,1
500;1671,7
500;1645,3
500;1700
500;1691,4
500;1637,9
1000;3768
1000;3668,3
1000;3725,8
1000;3720,9
1000;3512,5
