konz;ct
1;10,4604
10;11,810579
10;9,901128
100;8,061565
100;7,405972
100;7,841332
1000;6,024775
1000;6,161333
1000;6,16597
10000;5,179869
10000;5,156216
10000;5,126356
100000;4,621309
100000;4,915311
100000;4,877692
100000;4,89703
1000000;2,381722
1000000;3,848375
1000000;2,358426
1000000;3,519243
10000000;2,056026
10000000;2,112764
10000000;2,122518
10000000;2,043428
