Copy;Positive;RNA;prob
0;0;0;0
0;0;2;0
0;0;20;0
2;0;200;0,6667
2;0;;
2;0;;
20;0;;
20;0;;
20;0;;
200;0;;
200;0;;
200;1;;
2000;1;;
2000;1;;
2000;1;;
20000;1;;
20000;1;;
20000;1;;
200000;1;;
200000;1;;
200000;1;;
2000000;1;;
2000000;1;;
2000000;1;;
20000000;1;;
20000000;1;;
20000000;1;;
