konz;ct
100;13,113
100;9,206
1000;6,386
1000;6,409
1000;6,49
10000;5,136
10000;5,155
10000;5,621
100000;4,809
100000;4,471
100000;4,557
1000000;3,931
1000000;4,081
1000000;4,031
10000000;3,429
10000000;3,524
10000000;3,624
