Reverse 1.1;n=3;3,33 $\pm$ 0,07;p =  0,79;p = 0,85;p = 1 *10\textsuperscript{-4};s***
Reverse 1.2;n=3;4,27 $\pm$ 0,07;p =  0,24;;;
