Mischen nach 5 min;n=3;5,21 $\pm$ 0,03;p = 0,96;p = 0,14;p = 2,7 * 10\textsuperscript{-7};s***
ohne Mischen;n=3;6,48 $\pm$ 0,01;p = 0,99;;;
