Zeit;Probe1;Probe2;Probe3;Probe4;Probe5;Probe6;Probe7;Probe8
0;39,9299;41,1981;40,1283;36,8886;42,6993;41,59;46,3415;45,9475
0,5;39,6873;41,2247;40,2549;36,582;43,5392;41,7823;47,3652;46,4298
1;40,5814;41,9819;41,1228;37,3329;43,5196;41,8022;47,2196;46,4599
1,5;41,2008;42,4356;41,6678;37,7754;43,6558;42,0862;46,7801;46,248
2;40,6178;42,2613;41,3633;37,7369;44,2919;41,8043;48,0043;47,6893
2,5;41,0534;42,5571;41,864;38,0033;46,1172;42,9028;48,1701;48,4941
3;41,3311;42,8437;41,9958;38,5951;45,646;42,573;48,7817;47,6651
3,5;42,0123;43,6577;42,866;39,3153;43,5341;40,8632;46,585;45,8667
4;41,6274;43,4988;42,8817;38,8329;45,8326;42,9294;49,3406;48,2114
4,5;42,561;44,2922;43,7852;39,8943;46,4844;43,736;50,147;51,827
5;42,8881;45,0712;44,3778;39,646;50,2049;44,6732;49,5281;51,5921
5,5;42,7325;46,8036;45,8791;41,4248;49,2062;47,5807;53,0135;55,8155
6;43,116;49,5914;48,5279;43,431;50,7457;60,7936;66,2258;71,4005
6,5;44,688;54,5883;53,3249;48,6639;53,0683;88,1303;96,2364;99,4194
7;46,0207;61,9895;60,4708;55,8646;55,3184;126,515;137,331;138,657
7,5;47,3167;71,7637;69,2556;64,5512;55,8236;175,195;188,438;187,725
8;48,407;84,021;79,312;73,7723;57,935;230,601;247,085;245,193
8,5;49,7346;97,6613;91,1892;84,9742;58,4164;287,387;306,917;303,068
9;51,1285;112,034;104,048;97,0647;59,0401;340,603;363,426;359,468
9,5;51,5204;127,811;116,796;110,905;60,0593;391,499;416,773;412,945
10;52,3856;146,156;132,308;127,998;61,4218;438,297;466,632;462,432
10,5;52,6789;165,501;148,662;145,338;62,464;480,989;510,967;506,147
11;54,1475;187,189;167,399;165,96;62,9258;518,289;551,662;545,983
11,5;54,3486;210,263;186,367;187,48;63,6348;552,521;588,038;582,467
12;55,6346;234,02;206,613;210,068;65,0088;582,57;620,984;616,129
12,5;56,3312;257,526;226,484;233,984;65,7899;610,121;649,786;644,994
13;56,7047;280,506;246,161;257,778;65,8954;632,702;675,303;669,17
13,5;57,6971;303,135;266,641;281,011;66,4609;654,023;698,302;691,376
14;59,091;324,84;285,44;304,699;67,2769;671,802;717,063;711,399
14,5;58,8263;344,005;302,32;325,438;67,7571;687,659;734,871;728,291
15;59,614;363,312;319,267;345,213;68,0372;701,843;748,915;742,755
15,5;60,5919;380,633;334,885;363,99;69,0684;713,359;761,855;756,802
16;62,022;396,398;349,987;381,496;69,2954;725,227;774,739;769,523
16,5;61,291;409,048;361,526;395,415;70,3957;735,384;785,543;779,941
17;62,5592;422,274;373,637;409,441;69,9487;741,136;793,123;785,922
17,5;63,1422;431,695;382,945;421,253;70,4379;746,908;799,368;791,887
18;63,6441;437,444;388,938;427,989;70,6143;750,569;803,709;795,345
18,5;64,0761;441,048;391,627;430,98;71,8686;753,443;807,089;799,734
19;63,8434;443,099;395,082;433,373;71,0423;754,987;808,833;800,777
19,5;63,712;443,71;394,951;434,595;71,2615;756,166;810,59;802,485
